sku,product_name,product_price,product_img,product_description
#05727080,Hot Heavy Duty Tennis Training Tool+ Exercise Tennis Ball Self-study Rebound Ball with Tennis Trainer Baseboard Sparring Device  ,"
				Rs397
			",https://li4.rightinthebox.com/images/384x384/201704/exlwfl1492767445243.jpg,
#05066356,Golf Stroke Counter Golf Score Indicator Mini Portable PP for Golf - 10pcs  ,"
				Rs1,987
			",https://li7.rightinthebox.com/images/384x384/201607/okqaln1467714250873.jpg,
#05517016,150pcs 3 Stars Ping Pang/Table Tennis Ball Plastic Low Windage High Strength High Elasticity Durable  ,"
				Rs662
			",https://li6.rightinthebox.com/images/384x384/201704/ajy1492169933657.jpg,
#05069276,"Ombre Hair Extension Body Wave Human Hair 8"" 4pieces/lot #1B/27 Hair Weaves  ","
				Rs851
			",https://li7.rightinthebox.com/images/384x384/201607/ohjqch1467813194874.jpg,
#05512246,8inch 8 pcs /lot Brazilian deep curly Virgin Hair Brazilian Virgin Hair kinky curly  Hair Weave Bundles cheap human hair  ,"
				Rs2,319
			",https://li7.rightinthebox.com/images/384x384/201701/fgpsls1483676269052.jpg,
#05898020,7 Pieces/Lot Natural Wave Hair Human Hair Weaves With Closure Color 1b Natural Black (14inch16inch18inch)  ,"
				Rs3,512
			",https://li4.rightinthebox.com/images/384x384/201609/xtfk1473159647972.jpg,
#06194455,Curly Braids Hair Braid Crochet Curly 100% Kanekalon Hair Black/Strawberry Blonde Medium Auburn Strawberry Blonde Black 8 inch 3Piece/Set  ,"
				Rs463
			",https://li5.rightinthebox.com/images/384x384/201712/cdar1513656296844.jpg,
#06302945,Human Hair Brazilian Ombre Hair Weaves Deep Wave Hair Extensions 8pcs/pack Black/Burgundy Black  ,"
				Rs2,054
			",https://li5.rightinthebox.com/images/384x384/201710/dztosa1508818793768.jpg,
#05083398,"3 Pcs/Lot 8""-26"" Virgin Indian Hair Extensions For Short Hair Afro Kinky Curly Hair Weave 300G  ","
				Rs2,154
			",https://li3.rightinthebox.com/images/384x384/201607/cepctq1467525470834.jpg,"Style:, Kinky Curly"
#05747511,Black Wig Caps Wig Accessories Plastic Wigs Hair Tools Elastic Comfortable Cap  ,"
				Rs66
			",https://li8.rightinthebox.com/images/384x384/201705/swer1494499121475.jpg,
#06287069,Twist Braids Hair Braid Afro Jerry Curl 3pcs/pack Curly Weave Crochet Curly Jamaican Bounce Hair Synthetic Hair Black/Burgundy Black/Medium Auburn  ,"
				Rs529
			",https://li7.rightinthebox.com/images/384x384/201710/fnelsa1508230362553.jpg,
#06116526,New Bouncy Curl crochet braids Toni curl 10inch 20inch synthetic kanekalon braiding hair 20 roots/pack curls bouncy twist crochet Hair Braids  ,"
				Rs795
			",https://li7.rightinthebox.com/images/384x384/201708/yizygg1502274358739.jpg,
#05747508,Wig Caps Wig Accessories Plastic Wigs Hair Tools  ,"
				Rs52
			",https://li2.rightinthebox.com/images/384x384/201704/gldhcy1493291223935.jpg,
#05624847,JianYing Pool Cue Stick With 13mm Cue Tip PB03 Billiard cue stick with Joint Protector  ,"
				Rs3,976
			",https://li2.rightinthebox.com/images/384x384/201703/lrqdqg1489991971563.jpg,
#05272171,OMIN Snooker Cue 3/4 Ash shaft Handmade Billiard Cue VIP Members  ,"
				Rs3,644
			",https://li5.rightinthebox.com/images/384x384/201609/yqsatt1474249906454.jpg,
#05624850,OXHORN Billiard balls Pool Standard Size 2 1/4 Regulation 2.25 Full Table Set High Quality  ,"
				Rs4,638
			",https://li3.rightinthebox.com/images/384x384/201703/dbzhmj1489992279370.jpg,
#04825550,3/4 Jointed Handmade snooker/Pool Cue JY brand billiard cue+Cue Case   ,"
				Rs3,976
			",https://li5.rightinthebox.com/images/384x384/201603/vhlqhj1457422453492.jpg,
#06186537,OMIN Snooker Cue Professional 1Piece cue Black Ebony Butt Ash shaft Handmade Billiard Cue Star Mark 9.5MM  ,"
				Rs8,416
			",https://li2.rightinthebox.com/images/384x384/201708/knnwgu1504157325083.jpg,
#03051642,3/4 Jointed  Handmade snooker Cue stick  O'min brand  victory billiard cue+Cue Case  ,"
				Rs6,626
			",https://li2.rightinthebox.com/images/384x384/201504/vcuulk1429065383465.jpg,
#02990936,3/4 Jointed   snooker/Pool Cue JY brand  billiard cue+Cue Case  ,"
				Rs4,307
			",https://li8.rightinthebox.com/images/384x384/201504/falkpm1428469463965.jpg,
#05272170,OMIN Snooker Cue Professional 3/4 Black Ebony Butt Ash shaft Handmade Billiard Cue Star Mark  ,"
				Rs5,964
			",https://li6.rightinthebox.com/images/384x384/201609/qifymr1474249906536.jpg,
#05272172,Omin Snooker Cue Professional 3/4 Black Ebony Butt Ash shaft Handmade Billiard Cue Star Cut  ,"
				Rs7,753
			",https://li5.rightinthebox.com/images/384x384/201609/qnaokq1474249906529.jpg,
#05551144,JianYing Pool Cue Stick With 13mm Cue Tip Billiard cue stick and case with Joint Protector  ,"
				Rs5,367
			",https://li4.rightinthebox.com/images/384x384/201702/embnmj1487141769898.jpg,
#04683626,Professional Soft 24pcs Makeup Brushes Set Cosmetic Make Up Tools Set With Leather Case  ,"
				Rs1,126
			",https://li1.rightinthebox.com/images/384x384/201512/eyonpp1449653367733.jpg,"Handle Material:, Wood"
#05295355,MISS ROSE® 180 Eyeshadow Palette Dry Eyeshadow Kit Powder Daily Makeup  ,"
				Rs1,656
			",https://li2.rightinthebox.com/images/384x384/201701/kede1485314154627.jpg,
#01460653,32pcs Makeup Brushes set Professional Powder/Foundation/Concealer/Blush brush Shadow/Eyeliner/Lip/Brow/Lashes Brush Makeup Kit Cosmetic Brushes  ,"
				Rs1,126
			",https://li1.rightinthebox.com/images/384x384/201605/bcfk1463651883421.jpg,
#01346875,Pro 88 Warm Color Fashion Eye Shadow Palette Profession Makeup Eyeshadow A 796   ,"
				Rs463
			",https://li4.rightinthebox.com/images/384x384/201405/frgghl1399450447967.jpg,"Texture:, Matte"
#00740818,MAKE-UP FOR YOU® 32pcs Professional Cosmetic Black Rod Makeup Brushes Set Kit with Black Bag  ,"
				Rs720
			",https://li2.rightinthebox.com/images/384x384/201707/dved1500624785345.jpg,"Brush Hair Material:, Pony,Material:, Pony Brush"
