sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visiblity,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_main_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty-inc,enable_qty_increments,is_decimal_divided,website_id,defered_stock_update,use_config_defered_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,product_img
#05375272,,,,,,"Women's High Rise Micro-elastic Jeans Pants, Casual Street chic Solid Polyester Winter Fall  ","Style:, Street chic,Waistline:, High Rise,Pants Type:, Jeans",,,,,"
				Rs844
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05713744,,,,,,"Women's Daily Casual Summer Tank Top,Solid Deep U Sleeveless Cotton Medium  ","Tops Type:, Tank Top,Fabric:, Cotton",,,,,"
				Rs732
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05626907,,,,,,"Women's Daily Club Above Knee Skirts, Casual Sexy Bodycon Polyester Solid Summer Fall  ","Style:, Sexy,Occasion:, Club,Design:, Bow,Pants Type:, Bodycon",,,,,"
				Rs732
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05835277,,,,,,"Women's Beach Holiday Sexy Boho Street chic Bodycon Sheath Dress,Solid Strap Maxi Sleeveless Polyester Summer High Rise Micro-elastic Thin  ","Style:, Street chic, Boho, Sexy,Occasion:, Beach, Holiday,Dresses Type:, Bodycon, - ,Neckline:, Strap,Waistline:, High Rise,Dress Length:, Maxi",,,,,"
				Rs732
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05670847,,,,,,"Women's Halter Bikini,Plunging Neckline Color Block Sport Velvet Polyester  ","Style:, Sports,Neckline:, Halter,Swimwear Category:, Bikini,Pattern:, Patchwork",,,,,"
				Rs695
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li3.rightinthebox.com/images/384x384/201704/ahjfgi1491787426268.jpg
#04320581,,,,,,Women Bags Polyester Evening Bag Pearl Crystal/ Rhinestone for Event/Party Formal All Seasons White Beige Cream  ,"Occasion:, Event/Party",,,,,"
				Rs1,371
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li1.rightinthebox.com/images/384x384/201608/vxru1470641817918.jpg
#05600190,,,,,,"Women's Daily Club Casual Sexy Solid Halter Jumpsuits,Wide Leg Sleeveless Summer Polyester  ","Style:, Sexy,Occasion:, Club,Neckline:, Halter,Waistline:, High Rise,Jumpsuit Type:, Jumpsuits,Pants Type:, Wide Leg",,,,,"
				Rs1,166
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05416445,,,,,,"Women's Daily Club Sexy Bodycon Dress,Solid Crew Neck Knee-length Sleeveless Polyester Spring Summer Mid Rise Micro-elastic Medium  ","Style:, Sexy,Occasion:, Club,Dresses Type:, Bodycon, - ,Design:, Rivet, Cut Out,2018 Trends:, Backless",,,,,"
				Rs957
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#01213975,,,,,,Women Bags Nylon Metal Evening Bag Crystal Detailing for Event/Party Summer Gold Black Silver Coffee  ,"Occasion:, Event/Party",,,,,"
				Rs596
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li1.rightinthebox.com/images/384x384/201404/juzzxa1396322469591.jpg
#05781294,,,,,,"Women's Party Vintage Sophisticated Swing Dress,Print Halter Maxi Sleeveless Rayon Polyester All Seasons High Rise Micro-elastic Medium  ","Style:, Sophisticated, Vintage,Occasion:, Party,Dresses Type:, Swing,Neckline:, Halter,Waistline:, High Rise,Dress Length:, Maxi,2018 Trends:, Floral Patterns, Backless",,,,,"
				Rs675
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04477437,,,,,,"Women's Daily Elegant & Luxurious Winter Spring/Fall Fur Coat,Vintage V-neck Sleeveless Regular N/A Modern Style  ",,,,,,"
				Rs901
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04036976,,,,,,"Chandelier ,  Traditional/Classic Chrome Feature for Crystal Metal Living Room Bedroom Dining Room Study Room/Office Entry  ","Suggested Room Size:, 10-15㎡,Bulb Included or Not:, Bulb Not Included,Bulb Base:, E12/E14",,,,,"
				Rs6,308
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li5.rightinthebox.com/images/384x384/201705/afso1494297400654.jpg
#05579953,,,,,,Women's Shoes Fleece Spring Summer Sandals Stiletto Heel Peep Toe Pearl Tassel for Wedding Dress Party & Evening White  ,"Occasion:, Party & Evening, Wedding,Toe Shape:, Peep Toe,2018 Trends:, Crystal Sandals",,,,,"
				Rs3,160
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li1.rightinthebox.com/images/384x384/201703/davwsz1488419761602.jpg
#05622485,,,,,,Women Bags PU Crossbody Bag Flower for Wedding Event/Party Casual Sports Formal Outdoor Office & Career All Seasons Black Blushing Pink  ,"Occasion:, Casual, Formal,Main Materials:, PU",,,,,"
				Rs1,013
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li4.rightinthebox.com/images/384x384/201703/sejfjl1489974741367.jpg
#05224601,,,,,,"Women's Winter Fur Coat,Solid Simple Hooded Long Sleeve Long Faux Fur  ","Sleeve Type:, Flare Sleeve,Special Size:, Plus Size",,,,,"
				Rs2,816
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05365469,,,,,,"Women's Daily Sports Holiday Active Sexy Street chic Winter Fall T-shirt,Solid Round Neck Long Sleeves Polyester Thin  ","Occasion:, Sports, Holiday,Tops Type:, T-shirt,Sleeve Type:, Petal Sleeve",,,,,"
				Rs732
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05574131,,,,,,"Women's Party Club Vintage Sexy Sheath Dress,Patchwork Embroidered Strap Mini Sleeveless Polyester Summer Fall Mid Rise Micro-elastic  ","Style:, Vintage, Sexy,Occasion:, Club, Party,Neckline:, Strap,Design:, Backless, - , Lace, - ,Dress Length:, Mini,Pattern:, Embroidered, Patchwork,2018 Trends:, Floral Patterns",,,,,"
				Rs732
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04983680,,,,,,Women's Polyester Spandex Medium Solid Color Legging Red Green  ,,,,,,"
				Rs732
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05754920,,,,,,"Women's Going out Beach Party/Cocktail Asymmetrical Skirts, Cute Casual Sexy Bodycon Trumpet/Mermaid Rayon Floral Summer All Seasons  ","Style:, Cute, Sexy,Occasion:, Beach,Hemline / Train:, Asymmetrical,Design:, Split,Pants Type:, Bodycon, Trumpet/Mermaid",,,,,"
				Rs844
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
