sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visiblity,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_main_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty-inc,enable_qty_increments,is_decimal_divided,website_id,defered_stock_update,use_config_defered_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
#06420348,,,,,,Unisex Hiking 3-in-1 Jackets Outdoor Winter Windproof Rain-Proof Wearable Breathability Heat Retaining 3-in-1 Jacket Winter Jacket Full  ,"Activewear Type:, Hiking 3-in-1 Jackets, - ,Season:, Winter,Function:, Windproof, - ",,,,,"
				Rs3,316
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05065536,,,,,,Golf Stroke Counter Mini Portable Lightweight PP for Golf - 1pc  ,,,,,,"
				Rs397
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05494719,,,,,,Women's Hiking 3-in-1 Jackets Outdoor Winter Waterproof Thermal / Warm Windproof Fleece Lining Tracksuit Coverall Skiing Camping / Hiking  ,"Activewear Type:, Hiking 3-in-1 Jackets, - ,Season:, Winter,Function:, Windproof, - , Waterproof, - , Fleece Lining, - , Thermal / Warm, - ",,,,,"
				Rs2,652
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05989883,,,,,,Water Bottle Cage Cycling Cycling Carbon  Fiber-1  ,,,,,,"
				Rs862
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04831926,,,,,,CAMEL 3-4 persons Tent Double Camping Tent One Room Automatic Tent Windproof Ultraviolet Resistant Rain-Proof for Hiking Beach Camping  ,"Tent Structure:, Double,Occupancy:, 3-4 persons",,,,,"
				Rs4,642
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05122521,,,,,,Fishing Reel Spinning Reels 5.5 6 Ball Bearings Exchangable General Fishing - BASIC 2000  ,"Fishing Method:, General Fishing,Reel Type:, Spinning Reels,Gear Ratio:, 5.5,Line Capacity (mm/m):, 0.2,Hand Orientation:, Exchangable",,,,,"
				Rs530
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05405386,,,,,,FJQXZ Sports Gloves Wearable Breathable Anti-skidding Fingerless Gloves Sponge Cycling / Bike Downhill Men's Women's  ,,,,,,"
				Rs663
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04876385,,,,,,Unisex Diving Hood Waterproof Silicon Diving Suit Cap - Swimming Diving  ,,,,,,"
				Rs464
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05768596,,,,,,SQ9 Outdoor Camera 1080P Night Vision Small Camera High-Definition Mini Home Digital Video Recorder Outdoor Sports Camera  ,"Features:, USB, LED, Waterproof, Wide Angle",,,,,"
				Rs1,989
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05262794,,,,,,Women Sexy Seamless Lace Sports Bra Wireless Push Up Padded Yoga Tops  ,,,,,,"
				Rs464
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#02697584,,,,,,Outdoor Survival Multi-Function Nylon Rope 100FT 550lb Nylon Paracord Parachute Cord String Rope for Camping Hiking Survival  ,,,,,,"
				Rs397
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05962025,,,,,,Bike Saddles/Bicycle Saddles Mountain Bike/MTB Carbon Fiber - 1  ,,,,,,"
				Rs1,857
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06531259,,,,,,LED Light LED 5500 lm Mode LED Fastness Walking IP67 Pro Youth Camping/Hiking/Caving Everyday Use Diving/Boating Cycling/Bike Hunting  ,,,,,,"
				Rs1,525
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05925273,,,,,,Bicycle hydraulic Disc Brake Bleed Kit tool For AVID ELIXIR JUICY CODE Formula HYGIA USAGI HAYES J3 J5 J7 Formula R1 RX K24 K18 Professional Kit  ,,,,,,"
				Rs1,790
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05170767,,,,,,L Gym Bag / Yoga Bag Yoga Mat Bag Yoga Leisure Sports Fitness Waterproof Wearable Breathable Canvas  ,,,,,,"
				Rs1,127
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
